match_id,team_id,feature_version,team_surrendered,queue_id,game_version,game_duration_sec,collected_at,gold_diff_15,kill_diff_15,tower_diff_15,dragon_diff_15,rift_herald_diff_15,cs_diff_15,avg_level_diff_15,first_blood,first_tower,ward_placed_diff_15,ward_kill_diff_15
KR_8077577727,100,v1_15min,True,420,16.3.744.7656,1478,2026-05-14T19:59:29+00:00,-3915,-9,0,-2,0,-36,-1.0,-1,0,2,2
KR_8077577727,200,v1_15min,False,420,16.3.744.7656,1478,2026-05-14T19:59:29+00:00,3915,9,0,2,0,36,1.0,1,0,-2,-2
KR_8077529489,100,v1_15min,False,420,16.3.744.7656,1581,2026-05-14T19:59:29+00:00,-145,2,0,-1,0,5,0.2,-1,-1,6,-10
KR_8077529489,200,v1_15min,False,420,16.3.744.7656,1581,2026-05-14T19:59:29+00:00,145,-2,0,1,0,-5,-0.2,1,1,-6,10
KR_8077478842,100,v1_15min,True,420,16.3.744.7656,1587,2026-05-14T19:59:29+00:00,1732,1,1,-2,0,15,0.0,1,1,5,8
KR_8077478842,200,v1_15min,False,420,16.3.744.7656,1587,2026-05-14T19:59:29+00:00,-1732,-1,-1,2,0,-15,0.0,-1,-1,-5,-8
KR_8077431246,100,v1_15min,False,420,16.3.744.7656,1508,2026-05-14T19:59:29+00:00,6097,11,1,1,0,41,0.6,1,1,-3,6
KR_8077431246,200,v1_15min,True,420,16.3.744.7656,1508,2026-05-14T19:59:29+00:00,-6097,-11,-1,-1,0,-41,-0.6,-1,-1,3,-6
KR_8077381000,100,v1_15min,False,420,16.3.744.7656,1592,2026-05-14T19:59:29+00:00,-5304,-7,-1,-2,0,-55,-0.6,-1,-1,-1,0
KR_8077381000,200,v1_15min,False,420,16.3.744.7656,1592,2026-05-14T19:59:29+00:00,5304,7,1,2,0,55,0.6,1,1,1,0
KR_8042636871,100,v1_15min,False,420,16.2.738.9684,1441,2026-05-14T19:59:29+00:00,-551,-2,-1,-2,0,-6,-0.2,-1,-1,11,-4
KR_8042636871,200,v1_15min,False,420,16.2.738.9684,1441,2026-05-14T19:59:29+00:00,551,2,1,2,0,6,0.2,1,1,-11,4
KR_8042611593,100,v1_15min,False,420,16.2.738.9684,994,2026-05-14T19:59:29+00:00,5206,5,0,1,0,76,0.6,-1,0,10,5
KR_8042611593,200,v1_15min,True,420,16.2.738.9684,994,2026-05-14T19:59:29+00:00,-5206,-5,0,-1,0,-76,-0.6,1,0,-10,-5
KR_8040903329,100,v1_15min,False,420,16.1.737.4870,1982,2026-05-14T19:59:29+00:00,281,3,-1,1,0,-26,0.2,-1,-1,-6,3
KR_8040903329,200,v1_15min,False,420,16.1.737.4870,1982,2026-05-14T19:59:29+00:00,-281,-3,1,-1,0,26,-0.2,1,1,6,-3
KR_8040863880,100,v1_15min,False,420,16.1.737.4870,1498,2026-05-14T19:59:29+00:00,912,3,1,1,0,53,0.6,1,-1,15,-7
KR_8040863880,200,v1_15min,False,420,16.1.737.4870,1498,2026-05-14T19:59:29+00:00,-912,-3,-1,-1,0,-53,-0.6,-1,1,-15,7
KR_8039026425,100,v1_15min,False,420,16.1.737.4870,1622,2026-05-14T19:59:29+00:00,-2179,1,-1,1,0,-55,-0.2,1,-1,4,-3
KR_8039026425,200,v1_15min,False,420,16.1.737.4870,1622,2026-05-14T19:59:29+00:00,2179,-1,1,-1,0,55,0.2,-1,1,-4,3
KR_8038651661,100,v1_15min,False,420,16.1.737.4870,1979,2026-05-14T19:59:29+00:00,3970,10,0,1,0,32,0.8,1,0,1,1
KR_8038651661,200,v1_15min,False,420,16.1.737.4870,1979,2026-05-14T19:59:29+00:00,-3970,-10,0,-1,0,-32,-0.8,-1,0,-1,-1
KR_8038616222,100,v1_15min,False,420,16.1.737.4870,1514,2026-05-14T19:59:29+00:00,-869,-8,1,0,0,63,-0.6,1,1,0,-1
KR_8038616222,200,v1_15min,True,420,16.1.737.4870,1514,2026-05-14T19:59:29+00:00,869,8,-1,0,0,-63,0.6,-1,-1,0,1
KR_8030883838,100,v1_15min,False,420,16.1.737.4870,2062,2026-05-14T19:59:29+00:00,-576,-7,-1,1,0,47,-0.4,1,-1,9,-5
KR_8030883838,200,v1_15min,True,420,16.1.737.4870,2062,2026-05-14T19:59:29+00:00,576,7,1,-1,0,-47,0.4,-1,1,-9,5
KR_8147571596,100,v1_15min,False,420,16.6.756.931,917,2026-05-14T19:59:29+00:00,5384,6,2,2,0,63,0.8,-1,1,9,-4
KR_8147571596,200,v1_15min,True,420,16.6.756.931,917,2026-05-14T19:59:29+00:00,-5384,-6,-2,-2,0,-63,-0.8,1,-1,-9,4
KR_8146086326,100,v1_15min,False,420,16.6.756.931,1777,2026-05-14T19:59:29+00:00,-3808,-2,-1,1,0,-101,0.2,-1,-1,-2,0
KR_8146086326,200,v1_15min,False,420,16.6.756.931,1777,2026-05-14T19:59:29+00:00,3808,2,1,-1,0,101,-0.2,1,1,2,0
KR_8146023028,100,v1_15min,False,420,16.6.756.931,1670,2026-05-14T19:59:29+00:00,2138,5,2,1,0,-5,0.2,1,1,7,-6
KR_8146023028,200,v1_15min,False,420,16.6.756.931,1670,2026-05-14T19:59:29+00:00,-2138,-5,-2,-1,0,5,-0.2,-1,-1,-7,6
KR_8125497426,100,v1_15min,False,420,16.5.751.1533,1940,2026-05-14T19:59:29+00:00,3378,4,1,-2,0,2,0.2,1,1,12,-3
KR_8125497426,200,v1_15min,False,420,16.5.751.1533,1940,2026-05-14T19:59:29+00:00,-3378,-4,-1,2,0,-2,-0.2,-1,-1,-12,3
KR_8104037401,100,v1_15min,False,420,16.4.748.682,2031,2026-05-14T19:59:29+00:00,388,5,0,1,0,4,0.4,1,0,2,4
